"ID","CODE","NAME","PARENT_ID","PARENT_CODE","DEPT_LEVEL","DEPT_LEVEL_CODE_FULL","DEPT_LEVEL_NAME_FULL","DESCRIPTION","STATUS","COUNTRY_ID","COUNTRY_CODE","COUNTRY_NAME","PROVINCE_ID","PROVINCE_CODE","PROVINCE_NAME","COMPANY_ID","COMPANY_CODE","COMPANY_NAME","UPDATE_TIME","UPDATE_USER","START_TIME","END_TIME","STANDARD_NAME"
897,T074007,Trà Cú,355,T074,4,/TD/VTT/T074/T074007/,/TD/VTT/Trà Vinh/Trà Cú/,,1,281,VN,Việt Nam,897,,,,,,,,,,Trà Cú
305442,T037_T037024,Triệu Sơn,289,T037,4,/TD/VTT/T037/T037_T037024/,/Tập đoàn/VTT/Thanh Hóa/Triệu Sơn/,,1,281,VN,Việt Nam,289,T037,Thanh Hóa,,,,2020-12-11 04:24:41,"241173",,,Triệu Sơn
270,SXTB,SXTB,254,TD,6,/TD/SXTB/,/Tập đoàn/SXTB/,,1,,,,,,,,,,2021-07-15 15:47:08,"170635",,,SXTB
20002,B650DN1,Bán hàng AM Viettel Bình Dương,361,B650,4,/TD/VTT/B650/B650DN1/,/TD/VTT/Bình Dương/Bán hàng AM Viettel Bình Dương/,,1,281,VN,Việt Nam,20002,,,,,,,,,,Bán hàng AM Viettel Bình Dương
16002,B650TLS1,TLS Bình Dương,361,B650,4,/TD/VTT/B650/B650TLS1/,/TD/VTT/Bình Dương/TLS Bình Dương/,,1,281,VN,Việt Nam,16002,,,,,,,,,,TLS Bình Dương
249,VTL,Viettel Timor Leste,256,VTG,5,/TD/VTG/VTL/,/Tập đoàn/VTNN/VTL/,"Đông Timor cũng được gọi là Timor-Leste, tên chính thức là Cộng hòa Dân chủ Đông Timor, là một quốc gia ở khu vực Đông Nam Á, bao gồm nửa phía Đông của đảo Timor, những đảo lân cận gồm Atauro và Jaco và Oecussi-Ambeno, một phần nằm ở phía Tây Bắc của đảo, trong Tây Timor của Indonesia.",1,,,,,,,,,,2021-08-21 15:39:45,"170635",,,Telemor
252,VBD,Viettel Burundi S.A,256,VTG,5,/TD/VTG/VBD/,/Tập đoàn/VTNN/VTB/,"Burundi, tên chính thức Cộng hòa Burundi là một quốc gia ở phía đông châu Phi.",1,,,,,,,,,,2021-08-21 15:38:42,"170635",,,Lumitel
287,T027,Tuyên Quang,307143,TSS,3,/TD/TSS/T027/,/Tập đoàn/Viettel Tỉnh/TP/Tuyên Quang/,"Tuyên Quang là thành phố tỉnh lỵ của tỉnh Tuyên Quang, Việt Nam.",1,,,,,,,307143,TSS,Viettel Tỉnh/TP,2021-10-19 13:42:35,"170635",,,TQG
256,VTG,VTNN,254,TD,2,/TD/VTG/,/Tập đoàn/VTNN/,,1,,,,,,,,,,2021-12-29 12:37:26,"170635",,,VTG
295,B281,Bắc Kạn,307143,TSS,3,/TD/TSS/B281/,/Tập đoàn/Viettel Tỉnh/TP/Bắc Kạn/,"Bắc Kạn là thành phố tỉnh lỵ của tỉnh Bắc Kạn, Việt Nam.",1,,,,,,,307143,TSS,Viettel Tỉnh/TP,2021-10-19 11:52:12,"170635",,,BKN
294,B241,Bắc Ninh,307143,TSS,3,/TD/TSS/B241/,/Tập đoàn/Viettel Tỉnh/TP/Bắc Ninh/,"Bắc Ninh là thành phố tỉnh lỵ của tỉnh Bắc Ninh, Việt Nam. Thành phố Bắc Ninh có diện tích 82,64 km² với dân số là 270.426 người, mật độ dân số đạt 3.272 người/km².",1,,,,,,,307143,TSS,Viettel Tỉnh/TP,2021-10-19 11:52:01,"170635",,,BNH
297,H018,Hòa Bình,307143,TSS,3,/TD/TSS/H018/,/Tập đoàn/Viettel Tỉnh/TP/Hòa Bình/,"Hòa Bình là một tỉnh miền núi thuộc vùng Tây Bắc Bộ, Việt Nam. Tỉnh Hòa Bình có diện tích lớn thứ 29 trong 63 tỉnh thành của Việt Nam và là đơn vị hành chính Việt Nam đông thứ 49 về số dân.",1,,,,,,,307143,TSS,Viettel Tỉnh/TP,2021-10-19 11:55:18,"170635",,,HBH
293,B240,Bắc Giang,307143,TSS,3,/TD/TSS/B240/,/Tập đoàn/Viettel Tỉnh/TP/Bắc Giang/,"Bắc Giang là thành phố tỉnh lỵ của tỉnh Bắc Giang, Việt Nam.",1,,,,,,,307143,TSS,Viettel Tỉnh/TP,2021-10-19 11:51:50,"170635",,,BGG
307,N038,Nghệ An,307143,TSS,3,/TD/TSS/N038/,/Tập đoàn/Viettel Tỉnh/TP/Nghệ An/,"Nghệ An là một tỉnh ven biển nằm ở phía bắc của vùng Bắc Trung Bộ, miền Trung Việt Nam và là tỉnh có diện tích lớn nhất Việt Nam.",1,,,,,,,307143,TSS,Viettel Tỉnh/TP,2021-10-19 11:58:53,"170635",,,NAN
302,H321,Hưng Yên,307143,TSS,3,/TD/TSS/H321/,/Tập đoàn/Viettel Tỉnh/TP/Hưng Yên/,"Hưng Yên là một tỉnh nằm ở trung tâm đồng bằng sông Hồng, Việt Nam. Năm 2021, Hưng Yên là đơn vị hành chính Việt Nam có dân số 1.284,600 người, mật độ trung bình 1.381 người/km2, quy mô GRDP đạt 112.306 tỉ đồng, GRDP bình quân đầu người đạt 87,43 triệu đồng tương ứng với 3.817 USD.",1,,,,,,,307143,TSS,Viettel Tỉnh/TP,2021-10-19 11:56:14,"170635",,,HYN
305,L025,Lạng Sơn,307143,TSS,3,/TD/TSS/L025/,/Tập đoàn/Viettel Tỉnh/TP/Lạng Sơn/,"Lạng Sơn là thành phố tỉnh lỵ của tỉnh Lạng Sơn, Việt Nam.",1,,,,,,,307143,TSS,Viettel Tỉnh/TP,2021-10-19 11:57:48,"170635",,,LSN
312,Q052,Quảng Bình,307143,TSS,3,/TD/TSS/Q052/,/Tập đoàn/Viettel Tỉnh/TP/Quảng Bình/,"Quảng Bình là một tỉnh ven biển nằm ở phía nam khu vực Bắc Trung Bộ, miền Trung của Việt Nam.",1,,,,,,,307143,TSS,Viettel Tỉnh/TP,2021-10-19 13:40:01,"170635",,,QBH
313,D230,Điện Biên,307143,TSS,3,/TD/TSS/D230/,/Tập đoàn/Viettel Tỉnh/TP/Điện Biên/,"Điện Biên Phủ là thành phố tỉnh lỵ của tỉnh Điện Biên, Việt Nam.",1,,,,,,,307143,TSS,Viettel Tỉnh/TP,2021-10-19 11:53:56,"170635",,,DBN
318,Q055,Quảng Ngãi,307143,TSS,3,/TD/TSS/Q055/,/Tập đoàn/Viettel Tỉnh/TP/Quảng Ngãi/,"Quảng Ngãi là thành phố tỉnh lỵ của tỉnh Quảng Ngãi, thuộc vùng Duyên hải Nam Trung Bộ, Việt Nam.",1,,,,,,,307143,TSS,Viettel Tỉnh/TP,2021-12-02 13:40:00,"170635",,,QNI
322,B056,Bình Định,307143,TSS,3,/TD/TSS/B056/,/Tập đoàn/Viettel Tỉnh/TP/Bình Định/,"Bình Định là một tỉnh thuộc vùng duyên hải Nam Trung Bộ Việt Nam. Tỉnh lỵ của Bình Định là thành phố cảng Quy Nhơn nằm cách thủ đô Hà Nội 1.070 km về phía nam, cách thành phố Đà Nẵng 323 km về phía nam và cách Thành phố Hồ Chí Minh 652 km về phía bắc theo đường Quốc lộ 1.",1,,,,,,,307143,TSS,Viettel Tỉnh/TP,2021-10-19 11:51:03,"170635",,,BDH
323,B062,Bình Thuận,307143,TSS,3,/TD/TSS/B062/,/Tập đoàn/Viettel Tỉnh/TP/Bình Thuận/,"Bình Thuận là một tỉnh thuộc vùng Duyên hải Nam Trung Bộ, Việt Nam. Năm 2018, Bình Thuận là đơn vị hành chính Việt Nam đông thứ 32 về số dân, xếp thứ 34 về Tổng sản phẩm trên địa bàn, xếp thứ 26 về GRDP bình quân đầu người, đứng thứ 35 về tốc độ tăng trưởng GRDP.",1,,,,,,,307143,TSS,Viettel Tỉnh/TP,2021-10-19 11:51:24,"170635",,,BTN
328,N068,Ninh Thuận,307143,TSS,3,/TD/TSS/N068/,/Tập đoàn/Viettel Tỉnh/TP/Ninh Thuận/,"Ninh Thuận là một tỉnh ven biển nằm ở gần cực nam khu vực duyên hải Nam Trung Bộ, miền Trung của Việt Nam.",1,,,,,,,307143,TSS,Viettel Tỉnh/TP,2021-10-19 11:59:04,"170635",,,NTN
