"CODE","NAME","PARENT","TYPE_PARAM","STATUS","IMAGE","PARAM_ORDER","GROUP_TYPE","LEVEL_NODE","SUB_CODE","MODIFIED_DATE","START_TIME","END_TIME","ID","DEPT_ID","PARENT_DEPT_ID","DEPT_ORDER","STANDARD_NAME","PARAM_ORDER_SMS"
VTG_METFONE,"Metfone_CT Viettel Cambodia Pte., Ltd",VTG,DTLV,1,,0,DTLV,11,,2021-12-29 12:37:26.000,,,100676,308469,256,,,
TTTT,VTSport_TT Thể thao Viettel,CPLTM,DTLV,1,,5,DTLV,,,2021-12-30 10:52:17.000,,,100698,2108,308480,,,
HVT,VTAca_Học viện Viettel,CPLTM,DTLV,1,,4,DTLV,,,2021-12-30 10:52:17.000,,,100699,305965,308480,,,
VTH,TT KD Sản phẩm công nghệ cao Viettel,SXTBCNC_HHL,DTLV,1,,1,DTLV,,,2021-12-30 10:49:02.000,,,100724,7920,308482,,,
VTEK,TT Nghiên cứu công nghệ mạng Viettel,SXTBCNC_HHL,DTLV,1,,0,DTLV,,,2021-12-30 10:49:02.000,,,100725,1709,308482,,,
N030,NBH,TSS,DTLV,1,,41,DTLV,,,2021-11-16 23:39:53.000,,,100839,306,307143,,NBH,
N068,NTN,TSS,DTLV,1,,43,DTLV,,,2021-11-16 23:39:53.000,,,100838,328,307143,,NTN,
P210,PTO,TSS,DTLV,1,,44,DTLV,,,2021-11-16 23:44:56.000,,,100885,310,307143,,PTO,
P057,PYN,TSS,DTLV,1,,45,DTLV,,,2021-11-16 23:49:45.000,,,100884,329,307143,,PYN,
Q052,QBH,TSS,DTLV,1,,46,DTLV,,,2021-11-16 23:49:45.000,,,100883,312,307143,,QBH,
Q510,QNM,TSS,DTLV,1,,49,DTLV,,,2021-11-16 23:44:56.000,,,100882,319,307143,,QNM,
Q055,QNI,TSS,DTLV,1,,48,DTLV,,,2021-12-02 13:40:01.000,,,100881,318,307143,,QNI,
Q033,QNH,TSS,DTLV,1,,47,DTLV,,,2021-11-16 23:44:56.000,,,100880,311,307143,,QNH,
Q053,QTI,TSS,DTLV,1,,50,DTLV,,,2021-11-16 23:44:56.000,,,100879,316,307143,,QTI,
S079,STG,TSS,DTLV,1,,52,DTLV,,,2021-11-16 23:44:56.000,,,100878,374,307143,,STG,
S022,SLA,TSS,DTLV,1,,51,DTLV,,,2021-11-16 23:44:56.000,,,100877,285,307143,,SLA,
T066,TNH,TSS,DTLV,1,,56,DTLV,,,2021-11-16 23:44:56.000,,,100876,334,307143,,TNH,
T036,TBH,TSS,DTLV,1,,53,DTLV,,,2021-11-16 23:44:56.000,,,100875,288,307143,,TBH,
T280,TNN,TSS,DTLV,1,,57,DTLV,,,2021-11-16 23:44:56.000,,,100874,290,307143,,TNN,
T037,THA,TSS,DTLV,1,,55,DTLV,,,2021-11-16 23:44:56.000,,,100873,289,307143,,THA,
T054,HUE,TSS,DTLV,1,,29,DTLV,,,2021-11-16 23:44:56.000,,,100872,320,307143,,HUE,
T073,TGG,TSS,DTLV,1,,54,DTLV,,,2021-11-16 23:44:56.000,,,100871,335,307143,,TGG,
T008,HCM,TSS,DTLV,1,,2,DTLV,,,2021-12-02 09:55:45.000,,,100870,366,307143,,HCM,
T074,TVH,TSS,DTLV,1,,59,DTLV,,,2021-11-16 23:44:56.000,,,100869,355,307143,,TVH,
