GROUPPROFILECODE,CYCLETIME,AREACODE,DASHBOARDID,DASHBOARDNAME
VPTD,1,H031,3581,Doanh thu dịch vụ nhóm VTT
VPTD,1,H031,3582,Doanh thu dịch vụ nhóm VDS
VPTD,2,H321,3517,Doanh thu dịch vụ SME
VPTD,2,H321,3518,Doanh thu dịch vụ di động
VPTD,2,H321,3519,Doanh thu dịch vụ nhóm VTS
VPTD,2,H321,3520,Thuê bao FTTH
VPTD,2,H321,3521,Thuê bao di động phát triển thực
VPTD,2,H321,3522,Thuê bao 4G phát triển thực
VPTD,2,H321,3523,Tổng doanh thu dịch vụ
VPTD,2,H321,3524,Thuê bao register
VPTD,1,VTZ,2880,Doanh thu dịch vụ
VPTD,1,MOV,2754,Doanh thu dịch vụ
VPTD,1,MOV,2755,Thuê bao di động phát triển thực
VPTD,1,MOV,2756,Thuê bao 4G phát triển thực
VPTD,1,MOV,2757,Tổng doanh thu
VPTD,1,MOV,2758,Tiêu dùng thực di động
VPTD,1,MOV,2759,Thuê bao register
VPTD,1,MOV,2760,Thuê bao FTTH
VPTD,1,MOV,2761,MOV
VPTD,1,VTZ,2881,Thuê bao di động phát triển thực
VPTD,1,VTZ,2882,Thuê bao 4G phát triển thực
VPTD,1,VTZ,2883,Tổng doanh thu
VPTD,1,VTZ,2884,Tiêu dùng thực di động
VPTD,1,VTZ,2885,Thuê bao register
VPTD,1,VTZ,2887,VTZ
VPTD,2,BC,3011,Lợi nhuận
VPTD,2,BC,3012,Doanh thu cộng ngang (KD)
VPTD,2,ANM,3179,Thu nhập BQ
VPTD,2,ANM,3180,Chi phí
VPTD,2,BC,3015,Doanh thu bán hàng
VPTD,2,BC,3016,Doanh thu hợp nhất (TC)
VPTD,2,BC,3017,Doanh thu hợp nhất (KD)
VPTD,2,BC,3018,Doanh thu chuyển phát
VPTD,2,BC,3019,Doanh thu LOGISTICS
VPTD,2,BC,3020,Dòng tiền ròng
VPTD,2,BC,3021,VTPost
VPTD,2,ANM,3181,Lợi nhuận
VPTD,2,ANM,3182,Doanh thu dịch vụ
VPTD,2,ANM,3183,VCS
VPTD,1,BC,3025,Doanh thu hợp nhất KD
VPTD,1,BC,3026,Tổng doanh thu KD
VPTD,1,BC,3027,Doanh thu bán hàng
VPTD,1,BC,3028,Doanh thu chuyển phát
VPTD,1,BC,3029,Doanh thu LOGISTICS
VPTD,1,BC,3030,VTPost
VPTD,2,ANM,3184,Năng suất lao động BQ
VPTD,2,ANM,3185,Tổng doanh thu
VPTD,1,VTS,3229,VTS
VPTD,2,ANM,3187,Tổng doanh thu tài chính
VPTD,1,VTS,3230,TỔNG DOANH THU (TRỪ HUBBING)
VPTD,1,VTS,3242,DT BÁN HÀNG VIỄN THÔNG
VPTD,2,VTS,3257,Doanh thu bán hàng DA BQP
VPTD,2,VTS,3260,Chi Phí
VPTD,2,T037,3396,Doanh thu dịch vụ SME
VPTD,2,T037,3397,Doanh thu dịch vụ di động
VPTD,2,T037,3398,Doanh thu dịch vụ nhóm VTS
VPTD,2,T037,3399,Thuê bao FTTH
VPTD,2,T037,3400,Thuê bao di động phát triển thực
VPTD,2,T037,3401,Thuê bao 4G phát triển thực
VPTD,2,T037,3402,Tổng doanh thu dịch vụ
VPTD,2,T037,3403,Thuê bao register
VPTD,2,T037,3404,Doanh thu dịch vụ cố định băng rộng
VPTD,2,T037,3405,Doanh thu dịch vụ nhóm VTT
VPTD,2,T037,3406,Doanh thu dịch vụ nhóm VDS
VPTD,2,T054,3429,Doanh thu dịch vụ SME
VPTD,2,T054,3430,Doanh thu dịch vụ di động
VPTD,2,T054,3431,Doanh thu dịch vụ nhóm VTS
VPTD,2,T054,3432,Thuê bao FTTH
VPTD,2,T054,3433,Thuê bao di động phát triển thực
VPTD,2,T054,3434,Thuê bao 4G phát triển thực
VPTD,2,T054,3435,Tổng doanh thu dịch vụ
VPTD,2,T054,3436,Thuê bao register
VPTD,2,T054,3437,Doanh thu dịch vụ cố định băng rộng
VPTD,2,T054,3438,Doanh thu dịch vụ nhóm VTT
VPTD,2,T054,3439,Doanh thu dịch vụ nhóm VDS
VPTD,1,H019,3550,Doanh thu dịch vụ SME
VPTD,1,H019,3551,Doanh thu dịch vụ di động
VPTD,1,H019,3552,Doanh thu dịch vụ nhóm VTS
VPTD,1,H019,3553,Thuê bao FTTH
VPTD,1,H019,3554,Thuê bao di động phát triển thực
VPTD,1,H019,3555,Thuê bao 4G phát triển thực
VPTD,1,H019,3556,Tổng doanh thu dịch vụ
VPTD,1,H019,3557,Thuê bao register
VPTD,1,H019,3558,Doanh thu dịch vụ cố định băng rộng
VPTD,1,H019,3559,Doanh thu dịch vụ nhóm VTT
VPTD,1,H019,3560,Doanh thu dịch vụ nhóm VDS
VPTD,1,N351,3561,Doanh thu dịch vụ SME
VPTD,1,N351,3562,Doanh thu dịch vụ di động
VPTD,1,N351,3563,Doanh thu dịch vụ nhóm VTS
VPTD,1,N351,3564,Thuê bao FTTH
