"SERVICE_ID","SERVICE_NAME","DESCRIPTION","TYPE_ID","CAL_RATE","ID","SERVICE_DISPLAY","UNIT_ID","UNIT_CODE","SERVICE_TYPE","THRESHOLD_TYPE","STATUS","FOMULAR_DESCRIPT","UPDATE_TIME","UPDATE_USER","ORDER_INDEX","TYPE_PARAM","SERVICE_TYPE_PARAM","IS_LEAF"
7213,Trạm Km 124+720 - QL19,,,,200514,Trạm Km 124+720 - QL19,84,,1,1,1,,,,,DTTD,2,0
813,TS TB lũy kế,lantt_20161018,3,,1923,TS TB lũy kế,1,,1,1,1,,,,,DTTD,5,1
814,TB20KPSC TS TB tăng/giảm,lantt_20161018,2,,1924,TB20KPSC TS TB tăng/giảm,1,,1,1,1,,,,,DTTD,6,0
815,TT TB lũy kế,lantt_20161018,3,,1925,TT TB lũy kế,1,,1,1,1,,,,,DTTD,5,1
871,Doanh thu chuyển phát trong nước,longpt-20161018,1,,1927,DT chuyển phát trong nước,2,,1,1,1,,,,,DTTD,2,0
820,Chuyển phát truyền thống,longpt-20161018,1,,1928,Chuyển phát truyền thống,2,,1,1,1,,,,,DTTD,2,1
872,Doanh thu Logistics,longpt-20161018,1,,1930,DT Logistics,2,,1,1,1,,,,,DTTD,2,0
822,Forwarding,longpt-20161018,1,,1931,Forwarding,2,,1,1,1,,,,,DTTD,2,1
825,Chuyển phát truyền thống,longpt-20161018,1,,1935,Chuyển phát truyền thống,2,,1,1,1,,,,,DTTD,2,1
206,Thuê bao thực tăng thêm,,2,,1936,Thuê bao thực tăng thêm,1,,1,1,1,TB di động PSC thực,2021-10-31 10:35:05.000,"170635",,DTTD,6,0
208,TS TB thực lũy kế,,3,,1938,TS TB thực lũy kế,1,,1,1,1,,,,,DTTD,5,0
826,COD,longpt-20161018,1,,1940,COD,2,,1,1,1,,,,,DTTD,2,1
827,Doanh thu Logistics,longpt-20161018,1,,1941,DT Logistics,2,,1,1,1,DT Logistics,1970-01-01 07:00:00.000,,,DTTD,2,0
828,Forwarding,longpt-20161018,1,,1942,Forwarding,2,,1,1,1,,,,,DTTD,2,1
829,Expresss(VQT),longpt-20161018,1,,1943,Expresss(VQT),2,,1,1,1,,,,,DTTD,2,1
830,Kho vận,longpt-20161018,1,,1944,Kho vận,2,,1,1,1,,,,,DTTD,2,1
832,Phát Hành báo (PHB),longpt-20161018,1,,1946,Phát Hành báo (PHB),2,,1,1,1,,,,,DTTD,1,1
834,Văn Phòng Phẩm,longpt-20161018,1,,1948,Văn Phòng Phẩm,2,,1,1,1,,,,,DTTD,2,1
836,Khác,longpt-20161018,1,,1949,Khác,2,,1,1,1,,,,,DTTD,2,1
838,Trong viễn thông,huyenvtm1 - 20161018,1,,1951,Trong viễn thông,2,,1,1,1,,,,,DTTD,2,0
