"SERVICE_ID","SERVICE_NAME"
143,DOANH THU DỊCH VỤ (chi tiết)
143,DOANH THU DỊCH VỤ (chi tiết)
143,DOANH THU DỊCH VỤ (chi tiết)
970,"4G Lũy kế"
971,"3G Tăng giảm"
178,"3G Lũy kế"
179,"3G Tăng/giảm"
176,"2G Lũy kế"
177,"2G Tăng/giảm"
206,Thuê bao thực tăng thêm
205,Tổng TB thực lũy kế
206,Thuê bao thực tăng thêm
206,Thuê bao thực tăng thêm
206,Thuê bao thực tăng thêm
806,Thuê bao 4G (LK toàn mạng)
807,Thuê bao 4G tăng thêm
806,Thuê bao 4G (LK toàn mạng)
807,Thuê bao 4G tăng thêm
205,Tổng TB thực lũy kế
206,Thuê bao thực tăng thêm
807,Thuê bao 4G tăng thêm
806,Thuê bao 4G (LK toàn mạng)
807,Thuê bao 4G tăng thêm
807,Thuê bao 4G tăng thêm
807,Thuê bao 4G tăng thêm
20214133,DT dịch vụ nhóm DV của VTT
143,DOANH THU DỊCH VỤ (chi tiết)
276,FTTx - TB thực tăng/giảm
275,FTTx - TB thực lũy kế
276,FTTx - TB thực tăng/giảm
276,FTTx - TB thực tăng/giảm
276,FTTx - TB thực tăng/giảm
143,DOANH THU DỊCH VỤ (chi tiết)
143,DOANH THU DỊCH VỤ (chi tiết)
143,DOANH THU DỊCH VỤ (chi tiết)
20214133,DT dịch vụ nhóm DV của VTT
20214132,DT dịch vụ nhóm DV của VTS
20212510,DT dịch vụ nhóm DV của VDS
20214133,DT dịch vụ nhóm DV của VTT
20214132,DT dịch vụ nhóm DV của VTS
20214133,DT dịch vụ nhóm DV của VTT
20212510,DT dịch vụ nhóm DV của VDS
157,Doanh thu cố định
5066,Doanh thu dịch vụ SME
20214124,DT khác (Kiddy+Smart)
1148,Tiêu dùng thực di động (TT+TS)
205,Tổng TB thực lũy kế
206,Thuê bao thực tăng thêm
20214133,DT dịch vụ nhóm DV của VTT
276,FTTx - TB thực tăng/giảm
275,FTTx - TB thực lũy kế
276,FTTx - TB thực tăng/giảm
276,FTTx - TB thực tăng/giảm
276,FTTx - TB thực tăng/giảm
5066,Doanh thu dịch vụ SME
5066,Doanh thu dịch vụ SME
69,Doanh thu cố định
5066,Doanh thu dịch vụ SME
5066,Doanh thu dịch vụ SME
205,Tổng TB thực lũy kế
206,Thuê bao thực tăng thêm
205,Tổng TB thực lũy kế
206,Thuê bao thực tăng thêm
69,Doanh thu cố định
69,Doanh thu cố định
205,Tổng TB thực lũy kế
206,Thuê bao thực tăng thêm
5066,Doanh thu dịch vụ SME
5066,Doanh thu dịch vụ SME
5066,Doanh thu dịch vụ SME
5066,Doanh thu dịch vụ SME
1200005,Nạp/Rút tiền
1200006,Dịch vụ viễn thông
1200015,Thu hộ (trừ viễn thông)
1200018,Chi hộ
1200021,Khác
1200491,Bán hộ
1200494,Merchant
1200497,"Dịch vụ tài chính (tiết kiệm-cho vay, đầu tư...)"
1200498,"Dịch vụ dữ liệu (Credit Score, data...)"
1200499,Sàn TMĐT
1200000,Chuyển tiền
206,Thuê bao thực tăng thêm
205,Tổng TB thực lũy kế
206,Thuê bao thực tăng thêm
206,Thuê bao thực tăng thêm
206,Thuê bao thực tăng thêm
276,FTTx - TB thực tăng/giảm
275,FTTx - TB thực lũy kế
276,FTTx - TB thực tăng/giảm
275,FTTx - TB thực lũy kế
276,FTTx - TB thực tăng/giảm
20214133,DT dịch vụ nhóm DV của VTT
143,DOANH THU DỊCH VỤ (chi tiết)
143,DOANH THU DỊCH VỤ (chi tiết)
20214133,DT dịch vụ nhóm DV của VTT
20214132,DT dịch vụ nhóm DV của VTS
20212510,DT dịch vụ nhóm DV của VDS
143,DOANH THU DỊCH VỤ (chi tiết)
1148,Tiêu dùng thực di động (TT+TS)
1148,Tiêu dùng thực di động (TT+TS)
157,Doanh thu cố định
20214132,DT dịch vụ nhóm DV của VTS
143,DOANH THU DỊCH VỤ (chi tiết)
20214133,DT dịch vụ nhóm DV của VTT
20214132,DT dịch vụ nhóm DV của VTS
20212510,DT dịch vụ nhóm DV của VDS
20214132,DT dịch vụ nhóm DV của VTS
20212510,DT dịch vụ nhóm DV của VDS
143,DOANH THU DỊCH VỤ (chi tiết)
20212743,Viettel 2743
20212744,Vinaphone 2744
20212745,Mobifone 2745
20212746,VietnamMobile 2746
20212747,Gtel đạt 2747
806,Thuê bao 4G (LK toàn mạng)
807,Thuê bao 4G tăng thêm
5066,Doanh thu dịch vụ SME
20214132,DT dịch vụ nhóm DV của VTS
205,Tổng TB thực lũy kế
206,Thuê bao thực tăng thêm
20214132,DT dịch vụ nhóm DV của VTS
1441,Doanh thu từ sản phẩn quân sự
1441,Doanh thu từ sản phẩn quân sự
143,DOANH THU DỊCH VỤ (chi tiết)
1148,Tiêu dùng thực di động (TT+TS)
275,FTTx - TB thực lũy kế
276,FTTx - TB thực tăng/giảm
70,ADSL
75,PSTN
81,FTTx
86,IP Leasedline
91,Kênh trắng TN (KTR TN)
96,IPTV
101,CableTV
106,Khác
1148,Tiêu dùng thực di động (TT+TS)
175,Thuê bao Register tăng thêm
174,Di động Lũy kế
175,Thuê bao Register tăng thêm
175,Thuê bao Register tăng thêm
175,Thuê bao Register tăng thêm
1148,Tiêu dùng thực di động (TT+TS)
1148,Tiêu dùng thực di động (TT+TS)
1148,Tiêu dùng thực di động (TT+TS)
1148,Tiêu dùng thực di động (TT+TS)
1148,Tiêu dùng thực di động (TT+TS)
5066,Doanh thu dịch vụ SME
5066,Doanh thu dịch vụ SME
5066,Doanh thu dịch vụ SME
5066,Doanh thu dịch vụ SME
5066,Doanh thu dịch vụ SME
20212510,DT dịch vụ nhóm DV của VDS
20212510,DT dịch vụ nhóm DV của VDS
20212510,DT dịch vụ nhóm DV của VDS
20212510,DT dịch vụ nhóm DV của VDS
20212510,DT dịch vụ nhóm DV của VDS
206,Thuê bao thực tăng thêm
205,Tổng TB thực lũy kế
206,Thuê bao thực tăng thêm
206,Thuê bao thực tăng thêm
206,Thuê bao thực tăng thêm
20212743,Viettel 2743
20212744,Vinaphone 2744
20212745,Mobifone 2745
20212746,VietnamMobile 2746
20212747,Gtel đạt 2747
143,DOANH THU DỊCH VỤ (chi tiết)
20214133,DT dịch vụ nhóm DV của VTT
20214132,DT dịch vụ nhóm DV của VTS
20212510,DT dịch vụ nhóm DV của VDS
2160400,Số lao động bình quân
2160400,Số lao động bình quân
807,Thuê bao 4G tăng thêm
806,Thuê bao 4G (LK toàn mạng)
807,Thuê bao 4G tăng thêm
807,Thuê bao 4G tăng thêm
807,Thuê bao 4G tăng thêm
175,Thuê bao Register tăng thêm
174,Di động Lũy kế
175,Thuê bao Register tăng thêm
174,Di động Lũy kế
210048,Hành động vận dụng kiến thức thành công
210048,Hành động vận dụng kiến thức thành công
210049,Tổng số hành động đăng ký vận dụng
210047,Tỷ lệ học viên vận dụng kiến thức thành công
210047,Tỷ lệ học viên vận dụng kiến thức thành công
1020,Doanh thu bán thẻ cào nội mạng
1020,Doanh thu bán thẻ cào nội mạng
1020,Doanh thu bán thẻ cào nội mạng
1020,Doanh thu bán thẻ cào nội mạng
1020,Doanh thu bán thẻ cào nội mạng
