,câu lệnh sinh ra,đơn vị,chu kỳ thời gian,đơn vị (viết tắt),URL,loại biểu đồ (chi tiết),loại biểu đồ
0,hãy mở biểu đồ cơ cấu của tập đoàn trong ngày hôm nay,tập đoàn,ngày,td,/pages/screen/2354,biểu đồ cơ cấu,biểu đồ
1,trưởng phòng đã ra lệnh mở biểu đồ kết hợp đường và cột cho toàn tập đoàn vào hôm nay,tập đoàn,ngày,td,/pages/screen/2354,biểu đồ kết hợp đường và cột,biểu đồ
2,"sáng nay, chúng ta sẽ mở đát bót chỉ huy của tập đoàn để xem thông tin mới nhất",tập đoàn,ngày,td,/pages/screen/2354,đát bót chỉ huy,dashboard
3,truy cập biểu đồ cảnh báo 2 tập đoàn trong ngày để cập nhật thông tin mới,tập đoàn,ngày,td,/pages/screen/2354,biểu đồ cảnh báo 2,biểu đồ
4,quản lý yêu cầu mở cho tất cả nhân viên tập đoàn hôm nay,tập đoàn,ngày,td,/pages/screen/2354,,khác
5,tôi đã mở biểu đồ của vtc trong tháng này,vtc,tháng,vtc,/pages/screen/2701,biểu đồ,khác
6,bạn hãy mở biểu đồ cơ cấu để kiểm tra dữ liệu trong tháng,vtc,tháng,vtc,/pages/screen/2701,biểu đồ cơ cấu,biểu đồ
7,"tháng này, vtc cần tôi mở biểu đồ rank để cập nhật danh sách khách hàng",vtc,tháng,vtc,/pages/screen/2701,biểu đồ rank,biểu đồ
8,"mỗi tháng, tôi phải mở biểu đồ của vtc để xem báo cáo",vtc,tháng,vtc,/pages/screen/2701,biểu đồ,khác
9,"để tiện theo dõi, tôi đã tạo tiện ích mở biểu đồ cột từ vtc trong tháng này",vtc,tháng,vtc,/pages/screen/2701,biểu đồ cột,biểu đồ
10,hãy mở thống kê của công ty mẹ cho tháng này,công ty mẹ,tháng,ctm,/pages/screen/9682,,khác
11,mở db để xem báo cáo tài chính hàng tháng của công ty mẹ,công ty mẹ,tháng,ctm,/pages/screen/9682,db,dashboard
12,hãy mở để theo dõi tiến độ dự án của công ty mẹ trong tháng này,công ty mẹ,tháng,ctm,/pages/screen/9682,,khác
13,vui lòng mở dashboard công việc chung của toàn bộ công ty mẹ trong tháng này,công ty mẹ,tháng,ctm,/pages/screen/9682,dashboard,dashboard
14,hãy mở biểu đồ rank nhân sự của công ty mẹ để kiểm tra thông tin nhân viên trong tháng này,công ty mẹ,tháng,ctm,/pages/screen/9682,biểu đồ rank,biểu đồ
15,mở dashboard vtc để kiểm tra chỉ số ngày hôm nay,vtc,ngày,vtc,/pages/screen/2690,dashboard,dashboard
16,hãy mở đát bọt chỉ huy vtc để xem thông tin cập nhật hàng ngày,vtc,ngày,vtc,/pages/screen/2690,đát bọt chỉ huy,dashboard
17,mở vtc để kiểm tra chỉ số ngày của các hoạt động,vtc,ngày,vtc,/pages/screen/2690,,khác
18,bạn hãy mở biểu đồ cảnh báo 2 vtc để theo dõi thông tin của ngày hôm nay,vtc,ngày,vtc,/pages/screen/2690,biểu đồ cảnh báo 2,biểu đồ
19,hãy mở vtc để theo dõi các số liệu và biểu đồ của ngày,vtc,ngày,vtc,/pages/screen/2690,,khác
20,"hôm nay, tôi mở để kiểm tra nat thường xuyên",nat,ngày,nat,/pages/screen/2919,,khác
21,nat đã được mở trên dashboard từ sáng đến chiều nay,nat,ngày,nat,/pages/screen/2919,dashboard,dashboard
22,biểu đồ rank hiển thị thông tin nat hàng ngày của tôi,nat,ngày,nat,/pages/screen/2919,biểu đồ rank,biểu đồ
23,tôi nhớ mở đát bọt chỉ huy để kiểm tra nat mỗi ngày,nat,ngày,nat,/pages/screen/2919,đát bọt chỉ huy,dashboard
24,các thông số nat ngày hôm qua đã được ghi nhận trên đát bọt,nat,ngày,nat,/pages/screen/2919,đát bọt,dashboard
25,tôi muốn mở để kiểm tra mov của tháng trước,mov,tháng,mov,/pages/screen/2772,,khác
26,"trong tháng này, tôi đang sử dụng mov để đánh giá hiệu suất công việc trên biểu đồ đường của tôi",mov,tháng,mov,/pages/screen/2772,biểu đồ đường,biểu đồ
27,"để nắm bắt tình hình hoạt động, tôi thường mở biểu đồ để xem tiến độ công việc của các thành viên trong tháng này",mov,tháng,mov,/pages/screen/2772,biểu đồ,khác
28," hiển thị rõ ràng các chỉ số mov trong tháng, giúp tôi theo dõi và đánh giá kết quả làm việc",mov,tháng,mov,/pages/screen/2772,,khác
29,"mỗi ngày, khi bắt đầu làm việc, tôi thường mở đát bọt chỉ huy để xem tỷ lệ hoàn thành công việc trong tháng và điều chỉnh kế hoạch",mov,tháng,mov,/pages/screen/2772,đát bọt chỉ huy,dashboard
