text,output,flag,username,timestamp
Mở dashboard Tập đoàn ngày,/Users/tranxuanhuy/Documents/Viettel Digital Talent/Chatbot/Code/demo/flagged/output/tmp8duqe66w.json,,,2023-09-27 15:41:32.393358
Mở dashboard tập đoàn tiêu dùng thực di động tháng,/Users/tranxuanhuy/Documents/Viettel Digital Talent/Chatbot/Code/demo/flagged/output/tmplg9lvmet.json,,,2023-09-27 15:48:22.466000
Mở dashboard VTG DT cộng ngang ngày,/Users/tranxuanhuy/Documents/Viettel Digital Talent/Chatbot/Code/demo/flagged/output/tmpnv_56gzi.json,,,2023-09-27 16:03:08.613415
Mở DB doanh thu dịch vụ VTT ngày 20/6/2023,/Users/tranxuanhuy/Documents/Viettel Digital Talent/Chatbot/Code/demo/flagged/output/tmpog842yni.json,,,2023-09-27 16:12:59.404139
Mở DB doanh thu dịch vụ TCT viễn thông ngày 20/6/2023,/Users/tranxuanhuy/Documents/Viettel Digital Talent/Chatbot/Code/demo/flagged/output/tmpeqwaoaz7.json,,,2023-09-27 16:13:35.593268
Mở DB doanh thu dịch vụ VTN tháng 7,/Users/tranxuanhuy/Documents/Viettel Digital Talent/Chatbot/Code/demo/flagged/output/tmp7zbulxvp.json,,,2023-09-27 16:19:10.361502
Mở db HNI tháng doanh thu dịch vụ nhóm SME,/Users/tranxuanhuy/Documents/Viettel Digital Talent/Chatbot/Code/demo/flagged/output/tmpbleb19i6.json,,,2023-09-27 16:23:49.396258
Mở DB TD ngày doanh thu dịch vụ,/Users/tranxuanhuy/Documents/Viettel Digital Talent/Chatbot/Code/demo/flagged/output/tmplmy3ogt5.json,,,2023-09-27 16:30:18.652683
Mo Dashboard thuê bao register TĐ,/Users/tranxuanhuy/Documents/Viettel Digital Talent/Chatbot/Code/demo/flagged/output/tmpdfzanoer.json,,,2023-09-27 16:37:26.081620
Mo DB tháng 5 VTTNEWNEW doanh thu cộng ngang,/Users/tranxuanhuy/Documents/Viettel Digital Talent/Chatbot/Code/demo/flagged/output/tmpz8l5nrr3.json,,,2023-09-27 17:55:47.001122
Mo DB tháng 5 bưu chính thu nhập bình quân tháng,/Users/tranxuanhuy/Documents/Viettel Digital Talent/Chatbot/Code/demo/flagged/output/tmpy672l21g.json,,,2023-09-27 18:00:56.949553
