,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Câu lệnh sinh ra,Câu lệnh có sẵn
0,0,0,0,Hãy mở trang chủ,Mở trang chủ
1,1,1,1,"Không cần chờ đợi, hãy mở trang chủ ngay",Mở trang chủ
2,2,2,2,Làm ơn mở trang chủ,Mở trang chủ
3,3,3,3,Vui lòng mở trang chủ,Mở trang chủ
4,4,4,4,Xin hãy mở trang chủ,Mở trang chủ
5,5,5,5,Hãy truy cập vào trang chủ,Mở trang chủ
6,6,6,6,Mở trang chủ ngay và luôn,Mở trang chủ
7,7,7,7,"Không lãng phí thời gian, mở trang chủ đi",Mở trang chủ
8,8,8,8,"Xin đừng chần chừ, hãy mở trang chủ",Mở trang chủ
9,9,9,9,Hãy truy cập vào trang chủ ngay lúc này,Mở trang chủ
10,10,10,10,"Đừng ngại, mở trang chủ đi",Mở trang chủ
11,11,11,11,Thử mở trang chủ xem sao,Mở trang chủ
12,12,12,12,Mở trang chủ ngay bây giờ thôi,Mở trang chủ
13,13,13,13,"Rất quan trọng, mở trang chủ ngay",Mở trang chủ
14,14,14,14,Mở trang chủ làm ơn,Mở trang chủ
15,15,15,15,"Đừng chờ đợi nữa, mở trang chủ đi",Mở trang chủ
16,16,16,16,Hãy mở trang chủ nhanh chóng,Mở trang chủ
17,17,17,17,"Đừng bỏ qua, hãy mở trang chủ",Mở trang chủ
18,18,18,18,Xin hãy mở trang chủ ngay và luôn,Mở trang chủ
19,19,19,19,Vui lòng truy cập trang chủ,Mở trang chủ
20,20,20,20,Đừng quên mở trang chủ,Mở trang chủ
21,21,21,21,Mở trang chủ không có gì khó,Mở trang chủ
22,22,22,22,Mở trang chủ không tốn nhiều thời gian,Mở trang chủ
23,23,23,23,Hãy truy cập trang chủ đi,Mở trang chủ
24,24,24,24,Xin làm ơn mở trang chủ,Mở trang chủ
25,25,25,25,"Đừng chần chừ nữa, hãy mở trang chủ",Mở trang chủ
26,26,26,26,Mở trang chủ làm ơn đi,Mở trang chủ
27,27,27,27,"Đừng bỏ qua, hãy mở trang chủ ngay",Mở trang chủ
28,28,28,28,Vui lòng mở trang chủ ngay bây giờ,Mở trang chủ
29,29,29,29,"Xin đừng chờ đợi, hãy mở trang chủ",Mở trang chủ
30,30,30,30,Hãy truy cập trang chủ ngay lúc này,Mở trang chủ
31,31,31,31,Thử mở trang chủ xem có gì mới,Mở trang chủ
32,32,32,32,Mở trang chủ ngay và luôn đi,Mở trang chủ
33,33,33,33,"Không lãng phí thời gian, hãy mở trang chủ ngay",Mở trang chủ
34,34,34,34,"Xin đừng ngại, hãy mở trang chủ",Mở trang chủ
35,35,35,35,Hãy mở trang chủ ngay bây giờ thôi,Mở trang chủ
