,Unnamed: 0.3,Câu lệnh sinh ra,Câu lệnh có sẵn
0,0,hãy mở trang chủ,Mở trang chủ
1,1,"không cần chờ đợi, hãy mở trang chủ ngay",Mở trang chủ
2,2,làm ơn mở trang chủ,Mở trang chủ
3,3,vui lòng mở trang chủ,Mở trang chủ
4,4,xin hãy mở trang chủ,Mở trang chủ
5,5,hãy truy cập vào trang chủ,Mở trang chủ
6,6,mở trang chủ ngay và luôn,Mở trang chủ
7,7,"không lãng phí thời gian, mở trang chủ đi",Mở trang chủ
8,8,"xin đừng chần chừ, hãy mở trang chủ",Mở trang chủ
9,9,hãy truy cập vào trang chủ ngay lúc này,Mở trang chủ
10,10,"đừng ngại, mở trang chủ đi",Mở trang chủ
11,11,thử mở trang chủ xem sao,Mở trang chủ
12,12,mở trang chủ ngay bây giờ thôi,Mở trang chủ
13,13,"rất quan trọng, mở trang chủ ngay",Mở trang chủ
14,14,mở trang chủ làm ơn,Mở trang chủ
15,15,"đừng chờ đợi nữa, mở trang chủ đi",Mở trang chủ
16,16,hãy mở trang chủ nhanh chóng,Mở trang chủ
17,17,"đừng bỏ qua, hãy mở trang chủ",Mở trang chủ
18,18,xin hãy mở trang chủ ngay và luôn,Mở trang chủ
19,19,vui lòng truy cập trang chủ,Mở trang chủ
20,20,đừng quên mở trang chủ,Mở trang chủ
21,21,mở trang chủ không có gì khó,Mở trang chủ
22,22,mở trang chủ không tốn nhiều thời gian,Mở trang chủ
23,23,hãy truy cập trang chủ đi,Mở trang chủ
24,24,xin làm ơn mở trang chủ,Mở trang chủ
25,25,"đừng chần chừ nữa, hãy mở trang chủ",Mở trang chủ
26,26,mở trang chủ làm ơn đi,Mở trang chủ
27,27,"đừng bỏ qua, hãy mở trang chủ ngay",Mở trang chủ
28,28,vui lòng mở trang chủ ngay bây giờ,Mở trang chủ
29,29,"xin đừng chờ đợi, hãy mở trang chủ",Mở trang chủ
30,30,hãy truy cập trang chủ ngay lúc này,Mở trang chủ
31,31,thử mở trang chủ xem có gì mới,Mở trang chủ
32,32,mở trang chủ ngay và luôn đi,Mở trang chủ
33,33,"không lãng phí thời gian, hãy mở trang chủ ngay",Mở trang chủ
34,34,"xin đừng ngại, hãy mở trang chủ",Mở trang chủ
35,35,hãy mở trang chủ ngay bây giờ thôi,Mở trang chủ
36,36,"rất quan trọng, mở trang chủ ngay lúc này",Mở trang chủ
37,37,mở trang chủ làm ơn đi,Mở trang chủ
38,38,"đừng trì hoãn, mở trang chủ đi",Mở trang chủ
39,39,hãy mở trang chủ nhanh chóng,Mở trang chủ
40,40,"đừng bỏ lỡ, hãy mở trang chủ",Mở trang chủ
41,41,xin hãy truy cập trang chủ,Mở trang chủ
42,42,đừng quên mở trang chủ,Mở trang chủ
43,43,mở trang chủ không quá khó,Mở trang chủ
44,44,mở trang chủ không tốn nhiều thời gian đâu,Mở trang chủ
45,45,hãy truy cập trang chủ nào,Mở trang chủ
46,46,"xin làm ơn, mở trang chủ đi",Mở trang chủ
47,47,"đừng chần chừ, hãy mở trang chủ ngay",Mở trang chủ
48,48,mở trang chủ đi làm ơn,Mở trang chủ
49,49,"đừng bỏ qua, hãy mở trang chủ luôn",Mở trang chủ
50,50,khởi động chương trình quản lý phản ánh,Mở quản lý phản ánh 
51,51,mở ứng dụng quản lý phản ánh,Mở quản lý phản ánh 
52,52,mở giao diện ql phản ánh,Mở quản lý phản ánh 
53,53,kích hoạt chức năng quản lý phản ánh,Mở quản lý phản ánh 
54,54,bắt đầu sử dụng chức năng phản ánh trong ql,Mở quản lý phản ánh 
55,55,kích hoạt ứng dụng ql phản ánh,Mở quản lý phản ánh 
56,56,bật chế độ quản lý phản ánh,Mở quản lý phản ánh 
57,57,sử dụng tính năng quản lý phản ánh,Mở quản lý phản ánh 
58,58,bật ứng dụng quản lý phản ánh,Mở quản lý phản ánh 
59,59,sử dụng chế độ quản lý phản ánh,Mở quản lý phản ánh 
60,60,mở phần mềm quản lý phản ánh,Mở quản lý phản ánh 
61,61,kích hoạt tính năng ql phản ánh,Mở quản lý phản ánh 
62,62,bắt đầu mở quản lý phản ánh,Mở quản lý phản ánh 
63,63,mở chế độ quản lý phản ánh,Mở quản lý phản ánh 
64,64,sử dụng ứng dụng quản lý phản ánh,Mở quản lý phản ánh 
65,65,kích hoạt phần mềm quản lý phản ánh,Mở quản lý phản ánh 
66,66,bật tính năng ql phản ánh,Mở quản lý phản ánh 
67,67,bắt đầu sử dụng quản lý phản ánh,Mở quản lý phản ánh 
68,68,mở chức năng quản lý phản ánh,Mở quản lý phản ánh 
69,69,khởi chạy quản lý phản ánh,Mở quản lý phản ánh 
70,70,kích hoạt giao diện quản lý phản ánh,Mở quản lý phản ánh 
71,71,sử dụng phần mềm ql phản ánh,Mở quản lý phản ánh 
72,72,bật chức năng ql phản ánh,Mở quản lý phản ánh 
73,73,mở ứng dụng ql phản ánh lên,Mở quản lý phản ánh 
74,74,sử dụng chế độ quản lý phản ánh trong ứng dụng,Mở quản lý phản ánh 
75,75,kích hoạt tính năng ql phản ánh trong ứng dụng,Mở quản lý phản ánh 
76,76,bắt đầu sử dụng ql phản ánh trong ứng dụng,Mở quản lý phản ánh 
77,77,mở chức năng ql phản ánh của ứng dụng,Mở quản lý phản ánh 
78,78,khởi chạy ứng dụng quản lý phản ánh,Mở quản lý phản ánh 
79,79,kích hoạt chế độ quản lý phản ánh trong ứng dụng,Mở quản lý phản ánh 
80,80,bật tính năng quản lý phản ánh của ứng dụng,Mở quản lý phản ánh 
81,81,mở ứng dụng ql phản ánh lên và bắt đầu sử dụng,Mở quản lý phản ánh 
82,82,sử dụng chức năng quản lý phản ánh trong ứng dụng mở,Mở quản lý phản ánh 
83,83,kích hoạt tính năng quản lý phản ánh trong ứng dụng đã được khởi động,Mở quản lý phản ánh 
84,84,bắt đầu sử dụng ql phản ánh trong ứng dụng đã mở,Mở quản lý phản ánh 
85,85,mở chức năng ql phản ánh của ứng dụng đã được bật,Mở quản lý phản ánh 
86,86,khởi chạy ứng dụng quản lý phản ánh trên thiết bị,Mở quản lý phản ánh 
87,87,kích hoạt chế độ quản lý phản ánh trong ứng dụng đã mở,Mở quản lý phản ánh 
88,88,bật tính năng quản lý phản ánh của ứng dụng đã được bật sẵn,Mở quản lý phản ánh 
89,89,mở ứng dụng quản lý phản ánh và bắt đầu sử dụng chức năng,Mở quản lý phản ánh 
90,90,sử dụng chức năng quản lý phản ánh trong ứng dụng đã khởi chạy,Mở quản lý phản ánh 
91,91,kích hoạt tính năng ql phản ánh trong ứng dụng đã kích hoạt,Mở quản lý phản ánh 
92,92,bắt đầu sử dụng ql phản ánh trong ứng dụng đã được sử dụng trước đó,Mở quản lý phản ánh 
93,93,mở chức năng ql phản ánh của ứng dụng đã được mở,Mở quản lý phản ánh 
94,94,khởi chạy ứng dụng quản lý phản ánh trên điện thoại di động,Mở quản lý phản ánh 
95,95,kích hoạt chế độ ql phản ánh trong ứng dụng đã kích hoạt sẵn,Mở quản lý phản ánh 
96,96,bật tính năng ql phản ánh của ứng dụng đã được bật sẵn trên thiết bị,Mở quản lý phản ánh 
97,97,mở ứng dụng quản lý phản ánh và bắt đầu sử dụng chức năng quản lý,Mở quản lý phản ánh 
98,98,sử dụng chức năng quản lý phản ánh trong ứng dụng đã được khởi chạy trước đó,Mở quản lý phản ánh 
99,99,kích hoạt tính năng ql phản ánh trong ứng dụng đã kích hoạt trước đó,Mở quản lý phản ánh 
100,100,hãy mở danh sách tổng quan,Mở danh mục chung 
101,101,hãy mở danh sách chung,Mở danh mục chung 
102,102,vui lòng mở danh sách tổng quan,Mở danh mục chung 
103,103,xin hãy mở danh sách chung,Mở danh mục chung 
104,104,mở danh sách tổng quan nhanh chóng,Mở danh mục chung 
105,105,hãy mở danh sách chung ngay lập tức,Mở danh mục chung 
106,106,vui lòng mở danh sách tổng quan mà không chậm trễ,Mở danh mục chung 
107,107,xin mở danh sách chung ngay bây giờ,Mở danh mục chung 
108,108,mở danh mục tổng quan không gian cách,Mở danh mục chung 
109,109,hãy mở danh mục chung mà không để chờ lâu,Mở danh mục chung 
110,110,vui lòng mở danh mục tổng quan càng sớm càng tốt,Mở danh mục chung 
111,111,xin hãy mở danh sách chung ngay tức thì,Mở danh mục chung 
112,112,mở danh mục tổng quan sẵn sàng,Mở danh mục chung 
113,113,hãy mở danh mục chung một cách nhanh chóng,Mở danh mục chung 
114,114,vui lòng mở danh mục tổng quan không trì hoãn,Mở danh mục chung 
115,115,xin mở danh mục chung không chậm trễ,Mở danh mục chung 
116,116,mở danh sách tổng quan một cách hiệu quả,Mở danh mục chung 
117,117,hãy mở danh sách chung mà không để lâu,Mở danh mục chung 
118,118,vui lòng mở danh sách tổng quan đúng lúc,Mở danh mục chung 
119,119,xin hãy mở danh sách chung càng sớm càng tốt,Mở danh mục chung 
120,120,mở danh mục tổng quan nhanh chóng và chính xác,Mở danh mục chung 
121,121,hãy mở danh mục chung ngay lập tức và không lỡ lời,Mở danh mục chung 
122,122,vui lòng mở danh mục tổng quan mà không chậm trễ,Mở danh mục chung 
123,123,xin mở danh mục chung ngay bây giờ và đúng thời điểm,Mở danh mục chung 
124,124,mở danh sách tổng quan miễn trì hoãn,Mở danh mục chung 
125,125,hãy mở danh sách chung không để chờ đợi,Mở danh mục chung 
126,126,vui lòng mở danh sách tổng quan ngay tức thì,Mở danh mục chung 
127,127,xin hãy mở danh sách chung ngay lập tức,Mở danh mục chung 
128,128,mở danh mục tổng quan sẵn sàng và chính xác,Mở danh mục chung 
129,129,hãy mở danh mục chung một cách nhanh chóng và không mắc lỗi,Mở danh mục chung 
130,130,vui lòng mở danh mục tổng quan không trì hoãn và chính xác,Mở danh mục chung 
131,131,xin mở danh mục chung không chậm trễ và không sai sót,Mở danh mục chung 
132,132,mở danh sách tổng quan một cách hiệu quả và đúng lúc,Mở danh mục chung 
133,133,hãy mở danh sách chung mà không để lâu và không lỡ lời,Mở danh mục chung 
134,134,vui lòng mở danh sách tổng quan đúng thời điểm và ngay lập tức,Mở danh mục chung 
135,135,xin mở danh sách chung càng sớm càng tốt và không mắc lỗi,Mở danh mục chung 
136,136,mở danh mục tổng quan nhanh chóng và mà không để chờ đợi,Mở danh mục chung 
137,137,hãy mở danh mục chung ngay tức thì và không mắc sai sót,Mở danh mục chung 
138,138,vui lòng mở danh mục tổng quan mà không chậm trễ và đúng lúc,Mở danh mục chung 
139,139,xin mở danh mục chung ngay bây giờ và không lỡ lời,Mở danh mục chung 
140,140,mở danh sách tổng quan miễn trì hoãn và không mắc lỗi,Mở danh mục chung 
141,141,hãy mở danh sách chung không để chờ đợi và không sai sót,Mở danh mục chung 
142,142,vui lòng mở danh sách tổng quan ngay tức thì và chính xác,Mở danh mục chung 
143,143,xin mở danh sách chung ngay lập tức và không mắc lỗi,Mở danh mục chung 
144,144,mở danh mục tổng quan sẵn sàng và không để chậm trễ,Mở danh mục chung 
145,145,hãy mở danh mục chung một cách nhanh chóng và không mắc lỗi,Mở danh mục chung 
146,146,vui lòng mở danh mục tổng quan không trì hoãn và không lỡ lời,Mở danh mục chung 
147,147,xin mở danh mục chung không chậm trễ và không sai sót,Mở danh mục chung 
148,148,mở danh sách tổng quan một cách hiệu quả và đúng lúc,Mở danh mục chung 
149,149,hãy mở danh sách chung mà không để lâu và không mắc lỗi,Mở danh mục chung 
150,150,tạo danh sách các chỉ tiêu,Mở danh mục chỉ tiêu
151,151,liệt kê các chỉ tiêu,Mở danh mục chỉ tiêu
152,152,đưa ra một bảng chỉ tiêu,Mở danh mục chỉ tiêu
153,153,thiết lập danh sách chỉ tiêu,Mở danh mục chỉ tiêu
154,154,chuẩn bị một báo cáo ct,Mở danh mục chỉ tiêu
155,155,xây dựng sổ chỉ tiêu,Mở danh mục chỉ tiêu
156,156,tạo ra một bộ chỉ tiêu,Mở danh mục chỉ tiêu
157,157,đặt ra danh sách các chỉ số,Mở danh mục chỉ tiêu
158,158,các chỉ tiêu cần được mở rộng,Mở danh mục chỉ tiêu
159,159,phát triển một danh mục chỉ số,Mở danh mục chỉ tiêu
160,160,danh sách các chỉ tiêu cần được xem xét,Mở danh mục chỉ tiêu
161,161,đề xuất danh sách chỉ tiêu,Mở danh mục chỉ tiêu
162,162,thiết lập một đề mục chỉ thị,Mở danh mục chỉ tiêu
163,163,xác định danh sách chỉ tiêu,Mở danh mục chỉ tiêu
164,164,chuẩn bị một tập danh sách chỉ tiêu,Mở danh mục chỉ tiêu
165,165,đề xuất một chuẩn ct,Mở danh mục chỉ tiêu
166,166,lập một sổ chỉ tiêu,Mở danh mục chỉ tiêu
167,167,tổ chức danh sách chỉ tiêu,Mở danh mục chỉ tiêu
168,168,đặt ra một danh sách chỉ tiêu cụ thể,Mở danh mục chỉ tiêu
169,169,dựa trên danh sách chỉ tiêu đã xác định,Mở danh mục chỉ tiêu
170,170,đồng ý với danh sách chỉ tiêu,Mở danh mục chỉ tiêu
171,171,thảo luận về danh sách chỉ tiêu,Mở danh mục chỉ tiêu
172,172,cải thiện danh sách chỉ tiêu,Mở danh mục chỉ tiêu
173,173,phân loại danh sách ct,Mở danh mục chỉ tiêu
174,174,xây dựng một danh sách ct mới,Mở danh mục chỉ tiêu
175,175,triển khai danh sách chỉ tiêu,Mở danh mục chỉ tiêu
176,176,đề xuất mở rộng danh sách ct,Mở danh mục chỉ tiêu
177,177,tạo ra một danh sách ct có liên quan,Mở danh mục chỉ tiêu
178,178,chuẩn bị một danh sách chỉ tiêu cụ thể,Mở danh mục chỉ tiêu
179,179,xác định một tập chỉ tiêu,Mở danh mục chỉ tiêu
180,180,đề xuất một bc danh sách chỉ tiêu,Mở danh mục chỉ tiêu
181,181,xây dựng danh sách các chỉ số cần đạt,Mở danh mục chỉ tiêu
182,182,thiết lập một danh sách chỉ tiêu chi tiết,Mở danh mục chỉ tiêu
183,183,phát triển một bản danh sách ct,Mở danh mục chỉ tiêu
184,184,định nghĩa danh sách ct,Mở danh mục chỉ tiêu
185,185,cải thiện danh sách chỉ tiêu hiện tại,Mở danh mục chỉ tiêu
186,186,thảo luận về một danh mục chỉ tiêu mới,Mở danh mục chỉ tiêu
187,187,triển khai danh sách chỉ tiêu đã chọn,Mở danh mục chỉ tiêu
188,188,đề xuất mở rộng danh sách chỉ tiêu hiện có,Mở danh mục chỉ tiêu
189,189,xây dựng danh sách ct phù hợp,Mở danh mục chỉ tiêu
190,190,liệt kê các chỉ số đáng xem,Mở danh mục chỉ tiêu
191,191,tạo một sổ ct mới,Mở danh mục chỉ tiêu
192,192,mở rộng danh sách chỉ tiêu đã đề xuất,Mở danh mục chỉ tiêu
193,193,chuẩn bị một danh sách chỉ tiêu chi tiết hơn,Mở danh mục chỉ tiêu
194,194,xác định một tập chỉ tiêu cố định,Mở danh mục chỉ tiêu
195,195,đề xuất một báo cáo chi tiết về chỉ tiêu,Mở danh mục chỉ tiêu
196,196,xây dựng danh sách các chỉ số đã cố định,Mở danh mục chỉ tiêu
197,197,thiết lập một danh sách chỉ tiêu hoàn chỉnh,Mở danh mục chỉ tiêu
198,198,phát triển danh mục chỉ tiêu mới,Mở danh mục chỉ tiêu
199,199,định nghĩa một danh sách chỉ tiêu liên quan,Mở danh mục chỉ tiêu
200,200,ql nhóm đơn vị được mở,Mở quản lý nhóm đơn vị 
201,201,mở chức năng ql nhóm đơn vị,Mở quản lý nhóm đơn vị 
202,202,vui lòng bật quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
203,203,hãy kích hoạt tính năng quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
204,204,theo dõi và điều khiển nhóm đơn vị đã được mở,Mở quản lý nhóm đơn vị 
205,205,mở chế độ quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
206,206,xin hãy khởi động chức năng quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
207,207,bật chức năng quản lý nhóm đơn vị để sử dụng,Mở quản lý nhóm đơn vị 
208,208,hãy mở chức năng quản lý nhóm đơn vị ngay,Mở quản lý nhóm đơn vị 
209,209,đảm bảo quản lý nhóm đơn vị đã được mở,Mở quản lý nhóm đơn vị 
210,210,tắt chế độ không cho phép quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
211,211,hủy chức năng quản lý nhóm đơn vị đang mở,Mở quản lý nhóm đơn vị 
212,212,vui lòng không mở chức năng ql nhóm đơn vị,Mở quản lý nhóm đơn vị 
213,213,xin hãy tắt tính năng ql nhóm đơn vị,Mở quản lý nhóm đơn vị 
214,214,tắt hoạt động ql nhóm đơn vị,Mở quản lý nhóm đơn vị 
215,215,đóng chức năng quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
216,216,hãy vô hiệu hóa chế độ quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
217,217,ngừng hoạt động tính năng quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
218,218,xin hãy không mở quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
219,219,không cho phép mở chức năng ql nhóm đơn vị,Mở quản lý nhóm đơn vị 
220,220,mở chế độ kiểm soát nhóm đơn vị,Mở quản lý nhóm đơn vị 
221,221,hãy kích hoạt chức năng ql đơn vị theo nhóm,Mở quản lý nhóm đơn vị 
222,222,thiết lập mở ql nhóm đơn vị,Mở quản lý nhóm đơn vị 
223,223,xin hãy mở ql nhóm đơn vị cho tính năng này,Mở quản lý nhóm đơn vị 
224,224,hãy bật chức năng ql đơn vị theo nhóm,Mở quản lý nhóm đơn vị 
225,225,kích hoạt chế độ quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
226,226,vui lòng mở tính năng quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
227,227,xin hãy đảm bảo rằng quản lý nhóm đơn vị đã được kích hoạt,Mở quản lý nhóm đơn vị 
228,228,đảm bảo rằng chức năng ql nhóm đơn vị đã được bật,Mở quản lý nhóm đơn vị 
229,229,hãy chắc chắn rằng tính năng quản lý nhóm đơn vị đã được mở,Mở quản lý nhóm đơn vị 
230,230,mở kiểm soát đơn vị theo nhóm để sử dụng,Mở quản lý nhóm đơn vị 
231,231,kích hoạt hoạt động ql nhóm đơn vị,Mở quản lý nhóm đơn vị 
232,232,thông báo đã mở quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
233,233,cảnh báo chức năng quản lý nhóm đơn vị đã được mở,Mở quản lý nhóm đơn vị 
234,234,xin hãy bắt đầu mở quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
235,235,bật quản lý nhóm đơn vị để sử dụng tính năng này,Mở quản lý nhóm đơn vị 
236,236,khởi động kiểm soát nhóm đơn vị,Mở quản lý nhóm đơn vị 
237,237,mở chế độ quản lý đơn vị theo nhóm để sử dụng,Mở quản lý nhóm đơn vị 
238,238,vui lòng kích hoạt quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
239,239,xin hãy bật chế độ quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
240,240,hãy mở chức năng kiểm soát nhóm đơn vị ngay lập tức,Mở quản lý nhóm đơn vị 
241,241,đảm bảo quản lý nhóm đơn vị đã được khởi động,Mở quản lý nhóm đơn vị 
242,242,tắt chế độ không cho phép quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
243,243,xin hãy hủy chức năng quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
244,244,tắt tính năng kiểm soát nhóm đơn vị đang mở,Mở quản lý nhóm đơn vị 
245,245,vui lòng không mở chức năng quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
246,246,xin hãy vô hiệu hóa chức năng kiểm soát nhóm đơn vị,Mở quản lý nhóm đơn vị 
247,247,ngừng hoạt động tính năng quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
248,248,xin hãy khóa quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
249,249,mở chế độ quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
250,250,thiết lập chu kỳ mặc định cho quản lý,Mở quản lý chu kỳ mặc định 
251,251,đặt chu kỳ mặc định cho hệ thống quản lý,Mở quản lý chu kỳ mặc định 
252,252,cấu hình ql với chu kỳ mặc định,Mở quản lý chu kỳ mặc định 
253,253,khởi tạo quản lý với chu kỳ mặc định,Mở quản lý chu kỳ mặc định 
254,254,xác định chu kỳ mặc định cho ql,Mở quản lý chu kỳ mặc định 
255,255,kích hoạt chu kỳ mặc định trong quản lý,Mở quản lý chu kỳ mặc định 
256,256,áp dụng chu kỳ mặc định vào quản lý,Mở quản lý chu kỳ mặc định 
257,257,thiết đặt quản lý với chu kỳ mặc định,Mở quản lý chu kỳ mặc định 
258,258,đăng ký chu kỳ mặc định cho quản lý,Mở quản lý chu kỳ mặc định 
259,259,sử dụng chu kỳ mặc định trong quản lý,Mở quản lý chu kỳ mặc định 
260,260,chọn chu kỳ mặc định cho ql,Mở quản lý chu kỳ mặc định 
261,261,định nghĩa chu kỳ mặc định trong ql,Mở quản lý chu kỳ mặc định 
262,262,gán chu kỳ mặc định đến quản lý,Mở quản lý chu kỳ mặc định 
263,263,điều chỉnh ql với chu kỳ mặc định,Mở quản lý chu kỳ mặc định 
264,264,thay đổi chu kỳ mặc định của quản lý,Mở quản lý chu kỳ mặc định 
265,265,đặt chu kỳ mặc định cho bảng điều khiển ql,Mở quản lý chu kỳ mặc định 
266,266,mở quản lý với chu kỳ mặc định,Mở quản lý chu kỳ mặc định 
