,Input,Output,Target
0,"quý II năm 2034 độ chính xác speech-to-text trung vị, tổng công ty viễn thông đã mở cảnh báo 2 chart để đáp ứng nhu cầu của người dùng","""LOẠI BIỂU ĐỒ"": ""biểu đồ cảnh báo 2"", ""ĐƠN VỊ"": ""biểu đồ cảnh báo 2"", ""CHU KỲ THỜI GIAN"": ""khác"", ""THỨ"": ""khác"", ""THÁNG"": ""khác"", ""THÁNG"": ""khác"", ""QUÝ"": ""khác"", ""NĂM"": ""khác"", ""CHỈ TIÊU"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác""","""LOẠI BIỂU ĐỒ"": ""biểu đồ cảnh báo 2"", ""ĐƠN VỊ"": ""VTT"", ""CHU KỲ THỜI GIAN"": ""quý"", ""THỨ"": ""khác"", ""NGÀY"": ""khác"", ""TUẦN"": ""khác"", ""THÁNG"": ""khác"", ""QUÝ"": ""II"", ""NĂM"": ""2034"", ""CHỈ TIÊU"": ""độ chính xác speech-to-text trung vị"", ""TIÊU ĐỀ"": ""độ chính xác speech-to-text"""
1,hãy khởi động biểu đồ tương quan ct viettel cambodia vtc cho tháng này nhóm sản phẩm dân sự và dân dụng,"""LOẠI BIỂU ĐỒ"": ""biểu đồ tương quan ct viettel cambodia vtc cho tháng này nhóm sản phẩm dân sự và dân dụng"", ""CHU KỲ THỜI GIAN"": ""khác"", ""THỨ"": ""khác"", ""THÁNG"": ""khác"", ""THÁNG"": ""khác"", ""QUÝ"": ""khác"", ""NĂM"": ""khác"", ""CHỈ TIÊU"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""khác"", ""TIÊU ĐỀ"": ""khác"", ""khác"", ""khác","""LOẠI BIỂU ĐỒ"": ""biểu đồ tương quan"", ""ĐƠN VỊ"": ""VTC"", ""CHU KỲ THỜI GIAN"": ""tháng"", ""THỨ"": ""khác"", ""NGÀY"": ""khác"", ""TUẦN"": ""khác"", ""THÁNG"": ""này"", ""QUÝ"": ""khác"", ""NĂM"": ""khác"", ""CHỈ TIÊU"": ""nhóm sản phẩm dân sự và dân dụng"", ""TIÊU ĐỀ"": ""dt các đơn vị trong vt"""
2,tôi muốn biết tình hình ở bqtdl tỷ lệ khung thời gian truy nhập dịch vụ tồi - video conferen  (fb fer - video conferen) hôm nay nên đã mở chart nested pie,"""LOẠI BIỂU ĐỒ"": ""biểu đồ khung thời gian truy nhập dịch vụ tồi - videon (fb fer - videon)"", ""CHU KỲ THỜI GIAN"": ""khác"", ""THÁNG"": ""khác"", ""THÁNG"": ""khác"", ""THÁNG"": ""khác"", ""QUÝ"": ""khác"", ""NĂM"": ""khác"", ""CHỈ TIÊU"": ""tỷ lệ khung thời gian truy nhập dịch vụ tồi - videon (fb fer - videon)""","""LOẠI BIỂU ĐỒ"": ""biểu đồ nested_pie"", ""ĐƠN VỊ"": ""BQTDL"", ""CHU KỲ THỜI GIAN"": ""ngày"", ""THỨ"": ""khác"", ""NGÀY"": ""hôm nay"", ""TUẦN"": ""khác"", ""THÁNG"": ""khác"", ""QUÝ"": ""khác"", ""NĂM"": ""khác"", ""CHỈ TIÊU"": ""tỷ lệ khung thời gian truy nhập dịch vụ tồi - video conferen  (fb fer - video conferen)"", ""TIÊU ĐỀ"": ""dv internet brcđ_tl khung tg truy nhập dv tồi - video conference (internet fr - vc)"""
3,hãy mở block info của vte cước phát sinh các dv ts để khám phá các số liệu thứ năm tuần gần nhất,"""LOẠI BIỂU ĐỒ"": ""biểu đồ block info của vte cước phát sinh các dv ts để khám phá các số liệu thứ năm"", ""CHU KỲ THỜI GIAN"": ""khác"", ""THỨ"": ""khác"", ""THÁNG"": ""khác"", ""THÁNG"": ""khác"", ""NGÀY"": ""khác"", ""CHỈ TIÊU"": ""khác"", ""CHỈ TIÊU"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""khác"", ""TIÊU ĐỀ"": ""khác"", ""khác"", ""","""LOẠI BIỂU ĐỒ"": ""biểu đồ block_info"", ""ĐƠN VỊ"": ""VTE"", ""CHU KỲ THỜI GIAN"": ""ngày"", ""THỨ"": ""5"", ""NGÀY"": ""khác"", ""TUẦN"": ""gần nhất"", ""THÁNG"": ""khác"", ""QUÝ"": ""khác"", ""NĂM"": ""khác"", ""CHỈ TIÊU"": ""cước phát sinh các dv ts"", ""TIÊU ĐỀ"": ""cơ cấu tiêu dùng thực di động"""
4,các cơ quan chức năng đã sử dụng info main chart để giám sát tình hình ktm hôm nay claro,"""LOẠI BIỂU ĐỒ"": ""biểu đồ info main chart"", ""ĐƠN VỊ"": ""biểu đồ info main chart"", ""CHU KỲ THỜI GIAN"": ""khác"", ""THỨ"": ""khác"", ""THÁNG"": ""khác"", ""THÁNG"": ""khác"", ""QUÝ"": ""khác"", ""CHỈ TIÊU"": ""khác"", ""CHỈ TIÊU"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""CHỈ TIÊU"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác""","""LOẠI BIỂU ĐỒ"": ""biểu đồ info_main"", ""ĐƠN VỊ"": ""KTM"", ""CHU KỲ THỜI GIAN"": ""ngày"", ""THỨ"": ""khác"", ""NGÀY"": ""hôm nay"", ""TUẦN"": ""khác"", ""THÁNG"": ""khác"", ""QUÝ"": ""khác"", ""NĂM"": ""khác"", ""CHỈ TIÊU"": ""claro"", ""TIÊU ĐỀ"": ""diễn biến thị phần các quý"""
5,việc mở chart word t bqtdl thuê bao 4g psc thực thứ ba tuần gần nhất giúp tôi nắm bắt được thông tin quan trọng về doanh thu và lượng khách hàng,"""LOẠI BIỂU ĐỒ"": ""biểu đồ chart word t bqtdl"", ""CHU KỲ THỜI GIAN"": ""khác"", ""THỨ"": ""khác"", ""NGÀY"": ""khác"", ""THÁNG"": ""khác"", ""THÁNG"": ""khác"", ""QUÝ"": ""khác"", ""CHỈ TIÊU"": ""khác"", ""CHỈ TIÊU"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""khác"", ""TIÊU ĐỀ"": ""khác"", ""khác"", ""kh","""LOẠI BIỂU ĐỒ"": ""biểu đồ chữ t"", ""ĐƠN VỊ"": ""BQTDL"", ""CHU KỲ THỜI GIAN"": ""ngày"", ""THỨ"": ""3"", ""NGÀY"": ""khác"", ""TUẦN"": ""gần nhất"", ""THÁNG"": ""khác"", ""QUÝ"": ""khác"", ""NĂM"": ""khác"", ""CHỈ TIÊU"": ""thuê bao 4g tăng thêm"", ""TIÊU ĐỀ"": ""thuê bao 4g psc thực"""
6,t008 cung cấp biểu đồ block info để người dùng tra cứu thông tin dịch vụ gp cntt truyền thống thứ tư tuần gần nhất,"""LOẠI BIỂU ĐỒ"": ""biểu đồ block info"", ""ĐƠN VỊ"": ""biểu đồ block info"", ""CHU KỲ THỜI GIAN"": ""biểu đồ block info"", ""THỨ"": ""khác"", ""THÁNG"": ""khác"", ""THÁNG"": ""khác"", ""QUÝ"": ""khác"", ""NĂM"": ""khác"", ""CHỈ TIÊU"": ""tổng thống thứ tư"", ""TIÊU ĐỀ"": ""tổng thống thứ tư tuần gần nhất"", ""TIÊU ĐỀ"": ""tổng thống thứ tư""","""LOẠI BIỂU ĐỒ"": ""biểu đồ block_info"", ""ĐƠN VỊ"": ""T008"", ""CHU KỲ THỜI GIAN"": ""ngày"", ""THỨ"": ""4"", ""NGÀY"": ""khác"", ""TUẦN"": ""gần nhất"", ""THÁNG"": ""khác"", ""QUÝ"": ""khác"", ""NĂM"": ""khác"", ""CHỈ TIÊU"": ""dịch vụ gp cntt truyền thống"", ""TIÊU ĐỀ"": ""khác"""
7,hãy mở ngay nested pie hc để xem báo cáo thứ năm tổng cde đã được tích hợp,"""LOẠI BIỂU ĐỒ"": ""biểu đồd pie hc"", ""ĐƠN VỊ"": ""biểu đồd pie hc"", ""CHU KỲ THỜI GIAN"": ""khác"", ""THÁNG"": ""khác"", ""THÁNG"": ""khác"", ""THÁNG"": ""khác"", ""QUÝ"": ""khác"", ""NĂM"": ""khác"", ""CHỈ TIÊU"": ""doanh thu cde đã được tích hợp"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác""","""LOẠI BIỂU ĐỒ"": ""biểu đồ nested_pie"", ""ĐƠN VỊ"": ""HC"", ""CHU KỲ THỜI GIAN"": ""ngày"", ""THỨ"": ""5"", ""NGÀY"": ""khác"", ""TUẦN"": ""khác"", ""THÁNG"": ""khác"", ""QUÝ"": ""khác"", ""NĂM"": ""khác"", ""CHỈ TIÊU"": ""tổng cde đã được tích hợp"", ""TIÊU ĐỀ"": ""khác"""
8,tôi cần đăng nhập vào hệ thống để mở overview chart trạm đắk lăk viettel hdg để xem thông tin về doanh thu 2018/03 vừa qua,"""LOẠI BIỂU ĐỒ"": ""biểu đồ overview chart"", ""CHU KỲ THỜI GIAN"": ""khác"", ""THỨ"": ""khác"", ""NGÀY"": ""khác"", ""NGÀY"": ""khác"", ""THÁNG"": ""khác"", ""THÁNG"": ""khác"", ""CHỈ TIÊU"": ""khác"", ""CHỈ TIÊU"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""CHỈ TIÊU"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""khác"", ""TIÊU ĐỀ"": ""khác"", ""khác"", ""khác"", ""","""LOẠI BIỂU ĐỒ"": ""biểu đồ tổng quan"", ""ĐƠN VỊ"": ""H320"", ""CHU KỲ THỜI GIAN"": ""tháng"", ""THỨ"": ""khác"", ""NGÀY"": ""khác"", ""TUẦN"": ""khác"", ""THÁNG"": ""03"", ""QUÝ"": ""khác"", ""NĂM"": ""2018"", ""CHỈ TIÊU"": ""trạm đắk lăk"", ""TIÊU ĐỀ"": ""doanh thu dịch vụ thu phí"""
9,hãy mở đường dashed halotel ngày kia dòng tiền ròng thực hiện lũy kế qua các tháng,"""LOẠI BIỂU ĐỒ"": ""biểu đồ mở đường dashed halotel ngày kia dòng tiền ròng thực hiện lũy kế qua các tháng"", ""CHU KỲ THỜI GIAN"": ""khác"", ""THỨ"": ""khác"", ""THÁNG"": ""khác"", ""THÁNG"": ""khác"", ""QUÝ"": ""khác"", ""NĂM"": ""khác"", ""CHỈ TIÊU"": ""dòng tiền ròng thực hiện lũy kế qua các tháng"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""TIÊU ĐỀ"": ""khác"", ""CHỈ TIÊU"": ""dòng tiền ròng thực hiện lũy kế qua các tháng""","""LOẠI BIỂU ĐỒ"": ""line_dashed chart"", ""ĐƠN VỊ"": ""VTZ"", ""CHU KỲ THỜI GIAN"": ""ngày"", ""THỨ"": ""khác"", ""NGÀY"": ""kia"", ""TUẦN"": ""khác"", ""THÁNG"": ""khác"", ""QUÝ"": ""khác"", ""NĂM"": ""khác"", ""CHỈ TIÊU"": ""dòng tiền ròng"", ""TIÊU ĐỀ"": ""dòng tiền ròng thực hiện lũy kế qua các tháng"""
